date,open,high,low,close,volume
2025-04-17,0.52,0.529453,0.514,0.523453,1000000.0
2025-04-18,0.523453,0.532748,0.517453,0.526748,1064948.69
2025-04-19,0.526748,0.535733,0.520748,0.529733,1128737.14
2025-04-20,0.529733,0.538267,0.523733,0.532267,1190228.74
2025-04-21,0.532267,0.540229,0.526267,0.534229,1248333.69
2025-04-22,0.534229,0.541521,0.528229,0.535521,1302031.16
2025-04-23,0.535521,0.542069,0.529521,0.536069,1350390.15
2025-04-24,0.536069,0.542069,0.529831,0.535831,1392588.39
2025-04-25,0.535831,0.541831,0.528797,0.534797,1427929.17
2025-04-26,0.534797,0.540797,0.526986,0.532986,1455855.43
2025-04-27,0.532986,0.538986,0.52445,0.53045,1475961.23
2025-04-28,0.53045,0.53645,0.521269,0.527269,1487999.92
2025-04-29,0.527269,0.533269,0.51755,0.52355,1491889.22
2025-04-30,0.52355,0.52955,0.51342,0.51942,1487712.88
2025-05-01,0.51942,0.52542,0.509022,0.515022,1475718.97
2025-05-02,0.515022,0.521022,0.504513,0.510513,1456314.84
2025-05-03,0.510513,0.516513,0.500049,0.506049,1430058.81
2025-05-04,0.506049,0.512049,0.49579,0.50179,1397648.79
2025-05-05,0.50179,0.50779,0.491883,0.497883,1359908.07
2025-05-06,0.497883,0.503883,0.488464,0.494464,1317768.56
2025-05-07,0.494464,0.500464,0.485648,0.491648,1272251.76
2025-05-08,0.491648,0.497648,0.483528,0.489528,1224448.0
2025-05-09,0.489528,0.495528,0.482166,0.488166,1175494.2
2025-05-10,0.488166,0.494166,0.481597,0.487597,1126550.71
2025-05-11,0.487597,0.493822,0.481597,0.487822,1078777.66
2025-05-12,0.487822,0.494811,0.481822,0.488811,1033311.34
2025-05-13,0.488811,0.496505,0.482811,0.490505,991241.05
2025-05-14,0.490505,0.498815,0.484505,0.492815,953586.89
2025-05-15,0.492815,0.501628,0.486815,0.495628,921279.0
2025-05-16,0.495628,0.504812,0.489628,0.498812,895138.59
2025-05-17,0.498812,0.508218,0.492812,0.502218,875861.22
2025-05-18,0.502218,0.511691,0.496218,0.505691,864002.63
2025-05-19,0.505691,0.515071,0.499691,0.509071,859967.39
2025-05-20,0.509071,0.518202,0.503071,0.512202,864000.72
2025-05-21,0.512202,0.52094,0.506202,0.51494,876183.42
2025-05-22,0.51494,0.523153,0.50894,0.517153,896430.29
2025-05-23,0.517153,0.524734,0.511153,0.518734,924491.81
2025-05-24,0.518734,0.525598,0.512734,0.519598,959959.25
2025-05-25,0.519598,0.525691,0.513598,0.519691,1002273.01
2025-05-26,0.519691,0.525691,0.512987,0.518987,1050734.0
2025-05-27,0.518987,0.524987,0.511495,0.517495,1104517.88
2025-05-28,0.517495,0.523495,0.509252,0.515252,1162691.89
2025-05-29,0.515252,0.521252,0.506328,0.512328,1224233.8
2025-05-30,0.512328,0.518328,0.502818,0.508818,1288052.78
2025-05-31,0.508818,0.514818,0.498842,0.504842,1353011.59
2025-06-01,0.504842,0.510842,0.494538,0.500538,1417949.8
2025-06-02,0.500538,0.506538,0.490056,0.496056,1481707.36
2025-06-03,0.496056,0.502056,0.485553,0.491553,1543148.31
2025-06-04,0.491553,0.497553,0.48119,0.48719,1601183.87
2025-06-05,0.48719,0.49319,0.47712,0.48312,1654794.64
2025-06-06,0.48312,0.48912,0.473483,0.479483,1703051.37
2025-06-07,0.479483,0.485483,0.470403,0.476403,1745133.88
2025-06-08,0.476403,0.482403,0.467984,0.473984,1780347.81
2025-06-09,0.473984,0.479984,0.466301,0.472301,1808138.7
2025-06-10,0.472301,0.478301,0.4654,0.4714,1828103.35
2025-06-11,0.4714,0.4774,0.465296,0.471296,1839998.0
2025-06-12,0.471296,0.477973,0.465296,0.471973,1843743.3
2025-06-13,0.471973,0.479383,0.465973,0.473383,1839425.93
2025-06-14,0.473383,0.481449,0.467383,0.475449,1827296.84
2025-06-15,0.475449,0.484069,0.469449,0.478069,1807766.13
